"inventory_id","item_sku","description","location_id","ebay_category_id","created_at","updated_at"
66,IZ-0105-74,Intel I5-12500T CPU,12,164,2025-09-25 13:39:56.228 -0500,
70,CB2-2003-19,Intel Xeon E3-1230 V5 CPU,1,164,2025-09-26 15:09:32.119 -0500,
71,IZ-0105-78,Dell EMC T140 Desktop,12,179,2025-09-26 16:15:25.395 -0500,
69,IZ-0105-77,Dell 1.8TB SAS 10k RPM Internal Laptop Drive,14,175670,2025-09-26 14:48:03.655 -0500,
40,IZ-0105-54,Dell OptiPlex 3040 Desktop,12,179,2025-08-29 11:34:25.290 -0500,
78,IZ-0105-84,Intel I7-3770 CPU,1,164,2025-09-30 15:31:41.759 -0500,
81,IZ-0105-86,Dell Optiplex 7060 Desktop,11,179,2025-10-01 15:18:09.317 -0500,
79,IZ-0105-85,Intel I7-4790 CPU,12,164,2025-09-30 15:44:02.982 -0500,
82,IZ-0105-87,Dell Precision 3420 Desktop,11,179,2025-10-02 14:14:32.785 -0500,
83,IZ-0105-88,Dell Precision 3420 Desktop,11,179,2025-10-02 14:18:08.354 -0500,
87,IZ-0105-93,Dell OptiPlex 3060 Desktop,11,179,2025-10-03 15:32:32.807 -0500,
88,IZ-0105-94,Lenovo ThinkPad T14s Notebook/Laptop,11,177,2025-10-04 10:35:13.955 -0500,
32,IZ-0105-46,Dell OptiPlex 3050 Desktop,12,179,2025-08-29 10:16:05.310 -0500,
46,IZ-0105-60,Dell OptiPlex 7050 Desktop,12,179,2025-08-30 09:59:40.545 -0500,
56,IZ-0105-68,Intel Xeon e3-1280 V6 LGA,12,164,2025-09-23 16:12:14.730 -0500,
80,JB-0626-325,Ubiquiti Networks EdgeSwitch 16 XG Fibre Channel Switch,12,51268,2025-10-01 10:49:33.050 -0500,
67,IZ-0105-75,Intel I5-10400 CPU,12,164,2025-09-25 16:03:43.071 -0500,
91,IZ-0105-97,Dell Precision 7710 Notebook/Laptop,12,177,2025-10-04 12:59:10.602 -0500,
57,IZ-0105-69,Intel Xeon W-1250 CPU,12,164,2025-09-23 16:45:02.128 -0500,
42,IZ-0105-56,Dell OptiPlex 7050 Desktop,12,179,2025-08-29 11:59:40.904 -0500,
86,IZ-0105-92,Dell OptiPlex 3080 Desktop,12,179,2025-10-03 15:03:51.591 -0500,
55,IZ-0105-67,Dell Precision 3431 Desktop,12,179,2025-09-23 15:38:31.754 -0500,
54,IZ-0105-66,Dell Precision 3450 Desktop,12,179,2025-09-23 09:21:19.893 -0500,
89,IZ-0105-95,Dell Latitude E5570 Notebook/Laptop,12,177,2025-10-04 10:38:36.688 -0500,
75,IZ-0105-81,Intel Core I3-6100 CPU,12,164,2025-09-27 13:47:06.786 -0500,
93,DT-0325-427,Dell Latitude 7490 Notebook/Laptop,12,177,2025-10-04 14:21:40.370 -0500,
97,IZ-0105-99,HP ProDesk 400 G3 Mini LOT OF 5 Desktop,11,179,2025-10-08 16:23:49.349 -0500,
117,IZ-0105-113,Dell Vostro 3500 Notebook/Laptop,12,177,2025-11-07 15:02:57.573 -0600,
99,IZ-0105-37,Belkin F4P638-48-AB5 48 Port Patch Panel,1,44992,2025-10-09 14:32:35.801 -0500,
